ts,equity
2024-06-10 11:00:00+00:00,960000.0
2024-06-10 12:00:00+00:00,960000.0
2024-06-10 13:00:00+00:00,960000.0
2024-06-10 14:00:00+00:00,960000.0
2024-06-10 15:00:00+00:00,960000.0
2024-06-10 16:00:00+00:00,960000.0
2024-06-10 17:00:00+00:00,960000.0
2024-06-10 18:00:00+00:00,960000.0
2024-06-10 19:00:00+00:00,960000.0
2024-06-10 20:00:00+00:00,960000.0
2024-06-10 21:00:00+00:00,960000.0
2024-06-10 22:00:00+00:00,960000.0
2024-06-10 23:00:00+00:00,960000.0
2024-06-11 00:00:00+00:00,960000.0
2024-06-11 01:00:00+00:00,960000.0
2024-06-11 02:00:00+00:00,960000.0
2024-06-11 03:00:00+00:00,960000.0
2024-06-11 04:00:00+00:00,960000.0
2024-06-11 05:00:00+00:00,960000.0
2024-06-11 06:00:00+00:00,960000.0
2024-06-11 07:00:00+00:00,960000.0
2024-06-11 08:00:00+00:00,960000.0
2024-06-11 09:00:00+00:00,960000.0
2024-06-11 10:00:00+00:00,960000.0
2024-06-11 11:00:00+00:00,960000.0
2024-06-11 12:00:00+00:00,960000.0
2024-06-11 13:00:00+00:00,960000.0
2024-06-11 14:00:00+00:00,960000.0
2024-06-11 15:00:00+00:00,960000.0
2024-06-11 16:00:00+00:00,960000.0
2024-06-11 17:00:00+00:00,960000.0
2024-06-11 18:00:00+00:00,960000.0
2024-06-11 19:00:00+00:00,960000.0
2024-06-11 20:00:00+00:00,960000.0
2024-06-11 21:00:00+00:00,960000.0
2024-06-11 22:00:00+00:00,960000.0
2024-06-11 23:00:00+00:00,960000.0
2024-06-12 00:00:00+00:00,960000.0
2024-06-12 01:00:00+00:00,960000.0
2024-06-12 02:00:00+00:00,960000.0
2024-06-12 03:00:00+00:00,960000.0
2024-06-12 04:00:00+00:00,960000.0
2024-06-12 05:00:00+00:00,960000.0
2024-06-12 06:00:00+00:00,960000.0
2024-06-12 07:00:00+00:00,960000.0
2024-06-12 08:00:00+00:00,960000.0
2024-06-12 09:00:00+00:00,960000.0
2024-06-12 10:00:00+00:00,960000.0
2024-06-12 11:00:00+00:00,960000.0
2024-06-12 12:00:00+00:00,960000.0
2024-06-12 13:00:00+00:00,960000.0
2024-06-12 14:00:00+00:00,960000.0
2024-06-12 15:00:00+00:00,960000.0
2024-06-12 16:00:00+00:00,960000.0
2024-06-12 17:00:00+00:00,960000.0
2024-06-12 18:00:00+00:00,960000.0
2024-06-12 19:00:00+00:00,960000.0
2024-06-12 20:00:00+00:00,960000.0
2024-06-12 21:00:00+00:00,960000.0
2024-06-12 22:00:00+00:00,960000.0
2024-06-12 23:00:00+00:00,960000.0
2024-06-13 00:00:00+00:00,960000.0
2024-06-13 01:00:00+00:00,960000.0
2024-06-13 02:00:00+00:00,960000.0
2024-06-13 03:00:00+00:00,960000.0
2024-06-13 04:00:00+00:00,960000.0
2024-06-13 05:00:00+00:00,960000.0
2024-06-13 06:00:00+00:00,960000.0
2024-06-13 07:00:00+00:00,960000.0
2024-06-13 08:00:00+00:00,960000.0
2024-06-13 09:00:00+00:00,960000.0
